#ZVView-data-copy:  16-Jul-2018 14:45:38
#=======================================
#
#name:   ENDF/B-VII.1: TH-232(N,G)TH-233
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  74445
#data...
#            X            Y
#          MeV        barns
    2.35034e-5      2465.87
    2.35095e-5      2371.37
    2.35187e-5      2211.63
    2.35287e-5      2017.43
    2.35452e-5      1678.63
    2.35576e-5      1423.85
    2.35651e-5      1276.69
    2.35727e-5      1132.84
    2.35788e-5      1024.06
    2.35849e-5      921.576
    2.35895e-5      849.135
    2.35952e-5      764.121
     2.3601e-5      685.383
    2.36048e-5      636.387
    2.36086e-5       590.17
    2.36124e-5      546.693
    2.36162e-5      505.902
      2.362e-5       467.73
    2.36235e-5      435.549
    2.36269e-5       405.36
    2.36303e-5      377.095
    2.36338e-5      350.677
    2.36372e-5      326.031
    2.36407e-5      303.074
    2.36441e-5      281.726
    2.36475e-5      261.904
     2.3651e-5      243.524
    2.36544e-5      226.507
    2.36582e-5      209.305
    2.36611e-5      196.816
    2.36641e-5      185.163
     2.3667e-5      174.297
      2.367e-5      164.173
    2.36729e-5      154.745
    2.36759e-5      145.971
    2.36789e-5      137.807
    2.36818e-5      130.215
    2.36848e-5      123.157
    2.36877e-5      116.596
    2.36922e-5      107.614
    2.36966e-5      99.5656
     2.3701e-5      92.3537
     2.3704e-5      87.9652
    2.37078e-5      82.7521
    2.37116e-5      78.0007
    2.37155e-5       73.666
    2.37193e-5       69.707
    2.37231e-5      66.0867
    2.37269e-5      62.7714
    2.37307e-5      59.7306
    2.37364e-5      55.6247
    2.37422e-5      51.9937
    2.37479e-5      48.7685
    2.37536e-5      45.8902
    2.37594e-5      43.3091
    2.37651e-5      40.9835
    2.37715e-5      38.6286
     2.3778e-5      36.5106
    2.37844e-5       34.595
    2.37908e-5      32.8534
    2.37994e-5      30.7619
     2.3808e-5      28.8935
    2.38166e-5       27.213
    2.38252e-5      25.6924
    2.38338e-5      24.3092
    2.38424e-5      23.0455
     2.3851e-5      21.8862
    2.38624e-5       20.482
    2.38739e-5      19.2177
    2.38853e-5      18.0741
    2.38968e-5      17.0353
    2.39082e-5      16.0882
    2.39197e-5      15.2217
    2.39321e-5      14.3633
    2.39454e-5       13.521
    2.39588e-5      12.7538
    2.39721e-5      12.0525
    2.39855e-5      11.4097
    2.39988e-5      10.8188
    2.40122e-5      10.2742
    2.40322e-5      9.53392
    2.40494e-5       8.9633
    2.40666e-5      8.44406
    2.40838e-5      7.97009
    2.41009e-5      7.53619
    2.41181e-5      7.13788
    2.41353e-5      6.77132
    2.41525e-5      6.43316
    2.41696e-5      6.12051
    2.41925e-5      5.73896
    2.42154e-5      5.39311
    2.42383e-5      5.07858
    2.42612e-5      4.79165
    2.42841e-5      4.52913
     2.4307e-5      4.28827
    2.43299e-5      4.06669
    2.43528e-5      3.86234
    2.43796e-5      3.64335
    2.44063e-5      3.44297
     2.4433e-5      3.25913
    2.44597e-5      3.09005
    2.44864e-5      2.93418
    2.45265e-5      2.72223
    2.45666e-5      2.53312
    2.46009e-5      2.38676
    2.46353e-5      2.25312
    2.46696e-5      2.13075
     2.4704e-5       2.0184
    2.47383e-5      1.91499
    2.47727e-5      1.81959
    2.48242e-5      1.68974
    2.48624e-5      1.60261
    2.49044e-5      1.51461
    2.49463e-5      1.43392
    2.49883e-5      1.35975
    2.50303e-5      1.29139
    2.50933e-5      1.19843
    2.51563e-5      1.11545
    2.52217e-5      1.03839
    2.52883e-5      0.96814
    2.53549e-5     0.905067
    2.54215e-5     0.848196
    2.54881e-5     0.796697
     2.5555e-5       0.7497
    2.56225e-5     0.706518
    2.56901e-5     0.667113
    2.57576e-5      0.63106
    2.58026e-5     0.608707
    2.58927e-5     0.567593
     2.5984e-5     0.530172
    2.60753e-5     0.496475
    2.61667e-5     0.466038
     2.6258e-5     0.438452
    2.63506e-5      0.41303
    2.64432e-5     0.389873
    2.65358e-5     0.368716
    2.66284e-5     0.349333
    2.67224e-5     0.331289
    2.68163e-5     0.314695
    2.69572e-5     0.292192
    2.70994e-5     0.271999
    2.72422e-5     0.253896
    2.73851e-5     0.237693
      2.753e-5     0.222984
    2.76749e-5     0.209658
    2.78204e-5     0.197531
    2.79673e-5      0.18643
    2.81143e-5     0.176336
    2.82626e-5     0.167047
    2.83619e-5      0.16128
    2.85606e-5     0.150715
    2.87621e-5     0.141162
    2.89635e-5     0.132616
    2.91678e-5     0.124838
    2.93721e-5     0.117837
    2.95793e-5     0.111428
    2.97865e-5     0.105629
    2.99967e-5     0.100295
    3.02068e-5    0.0954456
    3.04199e-5    0.0909659
    3.06329e-5    0.0868769
     3.0849e-5    0.0830858
    3.11747e-5     0.077983
    3.15034e-5     0.073429
    3.18367e-5    0.0693596
    3.21732e-5    0.0657257
    3.25128e-5    0.0624703
    3.28556e-5     0.059554
    3.32033e-5    0.0569228
    3.35542e-5    0.0545556
    3.37893e-5    0.0531169
     3.4266e-5    0.0505164
    3.47494e-5    0.0482638
    3.52396e-5    0.0463275
    3.56125e-5    0.0450989
    3.59562e-5    0.0442005
    3.61757e-5    0.0438325
    3.63099e-5    0.0437747
    3.64288e-5     0.043956
    3.64929e-5    0.0442342
    3.65417e-5    0.0446062
    3.65905e-5     0.045233
    3.66149e-5    0.0457208
    3.66393e-5    0.0464231
    3.66576e-5    0.0471827
    3.66713e-5    0.0479574
    3.66866e-5    0.0491224
     3.6698e-5    0.0502893
    3.67094e-5     0.051798
    3.67171e-5     0.053045
    3.67247e-5    0.0545285
    3.67323e-5    0.0562921
    3.67399e-5    0.0583857
    3.67476e-5    0.0608655
    3.67552e-5    0.0637941
    3.67609e-5    0.0663265
    3.67666e-5    0.0691812
    3.67723e-5    0.0723913
    3.67781e-5    0.0759911
    3.67838e-5    0.0800163
    3.67906e-5    0.0853949
    3.67955e-5    0.0896987
    3.68003e-5    0.0943929
    3.68052e-5    0.0994997
    3.68101e-5      0.10504
     3.6815e-5     0.111035
    3.68199e-5     0.117502
    3.68247e-5      0.12446
    3.68321e-5     0.135845
    3.68394e-5       0.1484
    3.68467e-5     0.162147
     3.6854e-5     0.177084
    3.68613e-5     0.193189
    3.68696e-5     0.212639
    3.68783e-5     0.234579
    3.68899e-5     0.265745
    3.69072e-5      0.31526
    3.69284e-5     0.376263
    3.69386e-5     0.403898
    3.69506e-5     0.434154
    3.69604e-5     0.455619
    3.69702e-5     0.473731
    3.69775e-5     0.484779
    3.69848e-5     0.493433
    3.69921e-5     0.499539
    3.70004e-5     0.503241
    3.70051e-5     0.503788
    3.70121e-5     0.502506
    3.70195e-5     0.498514
    3.70268e-5     0.491884
    3.70341e-5     0.482737
    3.70414e-5     0.471236
    3.70512e-5     0.452596
    3.70575e-5     0.438696
    3.70687e-5     0.411272
    3.70809e-5     0.378394
    3.71175e-5     0.273515
    3.71297e-5     0.240322
    3.71392e-5     0.216175
    3.71462e-5     0.199327
    3.71532e-5     0.183476
    3.71602e-5     0.168676
    3.71673e-5     0.154955
    3.71743e-5     0.142324
    3.71813e-5     0.130774
    3.71866e-5     0.122806
    3.71921e-5     0.115006
    3.71978e-5     0.107644
    3.72036e-5     0.100916
    3.72093e-5    0.0947882
     3.7215e-5    0.0892288
    3.72207e-5    0.0842022
    3.72264e-5    0.0796726
    3.72322e-5    0.0756037
    3.72379e-5    0.0719596
    3.72436e-5     0.068705
    3.72493e-5     0.065806
     3.7255e-5    0.0632298
    3.72608e-5    0.0609454
    3.72684e-5    0.0583032
     3.7276e-5    0.0560642
    3.72836e-5    0.0541709
    3.72912e-5    0.0525718
